,Event,Time,Meet,Swim Date,Minutes,Seconds,Milleseconds,seconds_converted,mins_converted,mill_converted
0,100 FR,01:28.4,2019 WY JHSR Fall in the Hole,11/10/2019,1,28,42,88.42,60,0.42
1,100 FR,01:30.1,2020 UT CHAT After State Inv,2/16/2020,1,30,12,90.12,60,0.12
2,100 FR,01:34.4,2019 UT Legendary Pop Pent,10/12/2019,1,34,36,94.36,60,0.36
